SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,TEAM,TEAM_ID,MAT,BATTING_RANK,BOWLING_RANK,FIELDING_RANK,OTHER_RANK,MOM,TOTAL_RANK,League Name
99,790,32995,Janu Olivier,4973941,SINOVILLE 3,,SINOVILLE 3,4556,3,1,103,0,0,0,104,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,,2024 Titans Second League
100,790,32995,Burgert Kloppers,4742888,PHSOB 3,,PHSOB 3,4555,2,-1,105,0,0,0,104,2024 Titans Second League
,790,32995,PHSOB 3,,,,,,,,,,,,,2024 Titans Second League
101,790,32995,Calyle Stolze,4896935,HARLEQUINS 3,,HARLEQUINS 3,4553,3,30,66,8,0,0,104,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,,2024 Titans Second League
102,790,32995,Steyn Niemand,4116052,HARLEQUINS 3,,HARLEQUINS 3,4553,2,75,0,28,0,0,103,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,,2024 Titans Second League
103,790,32995,Jeandre Roux,3018228,TUT 3,,TUT 3,4559,3,93,0,8,0,0,101,2024 Titans Second League
,790,32995,TUT 3,,,,,,,,,,,,,2024 Titans Second League
104,790,32995,JJ Du Toit,3226765,SINOVILLE 4,,SINOVILLE 4,4557,1,13,80,8,0,0,101,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,,2024 Titans Second League
105,790,32995,Matt Collett,4081460,PHSOB 3,,PHSOB 3,4555,1,81,20,0,0,0,101,2024 Titans Second League
,790,32995,PHSOB 3,,,,,,,,,,,,,2024 Titans Second League
106,790,32995,Jayden Potgieter,4854735,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,4560,2,94,5,0,0,0,99,2024 Titans Second League
,790,32995,CENTURION KAVALIERS 3,,,,,,,,,,,,,2024 Titans Second League
107,790,32995,David Diemont,4630530,HARLEQUINS 3,,HARLEQUINS 3,4553,1,97,0,0,0,0,97,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,,2024 Titans Second League
108,790,32995,Pieter Oosthuizen,4063614,SINOVILLE 3,,SINOVILLE 3,4556,5,0,88,8,0,0,96,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,,2024 Titans Second League
109,790,32995,Divan Cilliers,3713448,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,9,77,2,16,0,0,95,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,2024 Titans Second League
110,790,32995,Dewald Dummon,4715787,PHSOB 3,,PHSOB 3,4555,1,0,95,0,0,0,95,2024 Titans Second League
,790,32995,PHSOB 3,,,,,,,,,,,,,2024 Titans Second League
111,790,32995,Johan van Antwerpen,4673543,PHSOB 4,,PHSOB 4,4561,1,27,67,0,0,0,94,2024 Titans Second League
,790,32995,PHSOB 4,,,,,,,,,,,,,2024 Titans Second League
112,790,32995,Jaco CBC,4046234,CBCOB 3,,CBCOB 3,4552,1,20,63,8,0,0,91,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,,2024 Titans Second League
113,790,32995,Johan Van Antwerpen,4688793,PHSOB 3,,PHSOB 3,4555,2,91,0,0,0,0,91,2024 Titans Second League
,790,32995,PHSOB 3,,,,,,,,,,,,,2024 Titans Second League
114,790,32995,Stefan Olivier,3729935,TUT 3,,TUT 3,4559,2,82,0,8,0,0,90,2024 Titans Second League
,790,32995,TUT 3,,,,,,,,,,,,,2024 Titans Second League
115,790,32995,Zadian Cbc3,4874626,CBCOB 3,,CBCOB 3,4552,1,54,22,12,0,0,88,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,,2024 Titans Second League
116,790,32995,Pieter Jansen van rensburg,4704969,SINOVILLE 3,,SINOVILLE 3,4556,2,61,27,0,0,0,88,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,,2024 Titans Second League
117,790,32995,Mike Hartman,5000468,HARLEQUINS 3,,HARLEQUINS 3,4553,2,63,25,0,0,0,88,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,,2024 Titans Second League
118,790,32995,Marco Rudolph,3229694,SINOVILLE 3,,SINOVILLE 3,4556,1,87,0,0,0,0,87,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,,2024 Titans Second League
119,790,32995,Tiaan Borman,3772082,SINOVILLE 3,,SINOVILLE 3,4556,1,20,67,0,0,0,87,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,,2024 Titans Second League
120,790,32995,Callen Stephen,3782749,PHSOB 3,,PHSOB 3,4555,3,78,0,8,0,0,86,2024 Titans Second League
,790,32995,PHSOB 3,,,,,,,,,,,,,2024 Titans Second League
121,790,32995,Juan Human,4673828,HARLEQUINS 3,,HARLEQUINS 3,4553,4,66,-4,24,0,0,86,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,,2024 Titans Second League
122,790,32995,Reghardt Smit,4691513,CBCOB 3,,CBCOB 3,4552,1,1,85,0,0,0,86,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,,2024 Titans Second League
123,790,32995,Mathys Schoeman,4892049,SINOVILLE 4,,SINOVILLE 4,4557,1,82,0,0,0,0,82,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,,2024 Titans Second League
124,790,32995,Hennie Snr Smit,4877006,SINOVILLE 4,,SINOVILLE 4,4557,1,82,0,0,0,0,82,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,,2024 Titans Second League
125,790,32995,JEANDRE Du Bruyn,4891852,TUT 3,,TUT 3,4559,1,1,72,8,0,0,81,2024 Titans Second League
,790,32995,TUT 3,,,,,,,,,,,,,2024 Titans Second League
126,790,32995,Tyler Lockhart,4742892,PHSOB 3,,PHSOB 3,4555,1,14,67,0,0,0,81,2024 Titans Second League
,790,32995,PHSOB 3,,,,,,,,,,,,,2024 Titans Second League
