SNO,PLAYER,TEAM_IMG,BLANK,MAT,TEAM,INS,OVERS,RUNS,WKTS,BBF,MDNS,DOTS,ECON,AVE,SR,HATTRICK,4W,5W,WIDES,NB,League Name
76,Wiehan Nel,SINOVILLE 3,,SINOVILLE 3,4,4,13.4,103,3,23/ 1,0,45,7.54,34.33,27.3,0,0,0,7,0,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
77,Gunter Geyer,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,2,2,6.2,48,3,9/ 2,1,19,7.58,16.00,12.7,0,0,0,4,2,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
78,Calyle Stolze,HARLEQUINS 3,,HARLEQUINS 3,3,3,9.0,69,3,26/ 2,0,25,7.67,23.00,18.0,0,0,0,6,2,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
79,Johan Feute,SINOVILLE 3,,SINOVILLE 3,2,2,14.5,114,3,29/ 2,0,42,7.69,38.00,29.7,0,0,0,1,0,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
80,Tiaan Borman,SINOVILLE 3,,SINOVILLE 3,1,1,5.5,45,3,45/ 3,0,18,7.71,15.00,11.7,0,0,0,0,0,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
81,Jock de Jager,TUKS 5,,TUKS 5,3,3,8.0,67,3,21/ 1,1,23,8.38,22.33,16.0,0,0,0,5,0,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
82,Pieter Roos,HARLEQUINS 3,,HARLEQUINS 3,8,3,16.0,148,3,63/ 3,1,50,9.25,49.33,32.0,0,0,0,13,1,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
83,JJ Du Toit,SINOVILLE 4,,SINOVILLE 4,1,1,6.0,18,2,18/ 2,2,31,3.00,9.00,18.0,0,0,0,1,0,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
84,James van der Merwe,SINOVILLE 3,,SINOVILLE 3,1,1,7.0,21,2,21/ 2,1,29,3.00,10.50,21.0,0,0,0,1,0,2024 Titans Second League
,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
85,Acelan Pruss,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,2,2,12.3,41,2,16/ 2,1,52,3.28,20.50,37.5,0,0,0,2,0,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
86,Yatin Koul,PHSOB 3,,PHSOB 3,1,1,3.0,10,2,10/ 2,0,11,3.33,5.00,9.0,0,0,0,0,0,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
87,Stephan Van Der Berg,CBCOB 3,,CBCOB 3,1,1,9.0,31,2,31/ 2,0,27,3.44,15.50,27.0,0,0,0,1,0,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
88,Patrick Mounton,HARLEQUINS 3,,HARLEQUINS 3,2,1,7.0,29,2,29/ 2,0,29,4.14,14.50,21.0,0,0,0,0,1,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
89,Nathan Hall,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,1,1,5.1,22,2,22/ 2,0,20,4.26,11.00,15.5,0,0,0,1,0,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,,2024 Titans Second League
