SNO,PLAYER,TEAM_IMG,BLANK,TEAM,MAT,INS,NO,RUNS,BALLS,AVG,SR,HS,100s,75s,50s,25s,0s,6s,4s,League Name
,TUKS 5,,,,,,,,,,,,,,,,,,,2024 Titans Second League
100,Avela Tamsanqa,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,6,5,0,37,87,7.40,42.53,24,0,0,0,0,1,0,3,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
101,Francois Mostert,PHSOB 3,,PHSOB 3,1,1,1,35,24,--,145.83,35,0,0,0,1,0,3,1,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
102,Alain Grové,PHSOB 4,,PHSOB 4,1,1,0,34,29,34.00,117.24,34,0,0,0,1,0,1,3,2024 Titans Second League
,PHSOB 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
103,Henning Snyman,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,1,1,0,33,22,33.00,150.00,33,0,0,0,1,0,2,4,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
104,Kai Trumplemann,CBCOB 3,,CBCOB 3,2,2,1,33,29,33.00,113.79,33,0,0,0,1,1,1,5,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
105,Jaco Fourie,PHSOB 3,,PHSOB 3,1,1,0,33,30,33.00,110.00,33,0,0,0,1,0,0,4,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
106,Rivan Stoman,SINOVILLE 4,,SINOVILLE 4,1,1,0,33,43,33.00,76.74,33,0,0,0,1,0,0,5,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
107,Stefan Van Der Linden,PHSOB 3,,PHSOB 3,2,2,0,33,86,16.50,38.37,33,0,0,0,1,1,0,4,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
108,Marko De Cock,PHSOB 3,,PHSOB 3,1,1,0,32,19,32.00,168.42,32,0,0,0,1,0,2,4,2024 Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
109,Hendrik Ferreira,TUT 3,,TUT 3,2,2,1,32,39,32.00,82.05,31,0,0,0,1,0,1,3,2024 Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
110,Vuks Bamuza,HARLEQUINS 3,,HARLEQUINS 3,1,1,0,32,54,32.00,59.26,32,0,0,0,1,0,0,6,2024 Titans Second League
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
111,Marius Bornman,TUKS 5,,TUKS 5,6,4,0,30,35,7.50,85.71,21,0,0,0,0,2,0,5,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,2024 Titans Second League
112,Nico Minnaar,TUT 3,,TUT 3,3,3,0,30,53,10.00,56.60,23,0,0,0,0,0,1,4,2024 Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
113,Matthew Kaiser,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,1,1,0,29,32,29.00,90.62,29,0,0,0,1,0,0,3,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
114,Stanley Fabri,SINOVILLE 4,,SINOVILLE 4,3,3,0,29,43,9.67,67.44,12,0,0,0,0,0,0,1,2024 Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
115,Rudi Loibner,CBCOB 3,,CBCOB 3,4,4,1,29,59,9.67,49.15,20,0,0,0,0,0,0,4,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
116,Luke Cannata,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,3,3,1,29,59,14.50,49.15,24,0,0,0,0,0,0,1,2024 Titans Second League
,CENTURION KAVALIERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
117,Stefan van der Linden,PHSOB 4,,PHSOB 4,1,1,0,29,68,29.00,42.65,29,0,0,0,1,0,0,2,2024 Titans Second League
,PHSOB 4,,,,,,,,,,,,,,,,,,,2024 Titans Second League
118,Tshepo Molite,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,1,0,27,25,27.00,108.00,27,0,0,0,1,0,2,1,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
