MATCH_ID,LEAGUE_ID,LEAGUE_NAME,LEAGUE_YEAR,CLUB_ID,MATCH_TYPE,MATCH_DATE,MATCH_DATE_KEY,RESULT,INNINGS,BATTING_TEAM_ID,BOWLING_TEAM_ID,BATTING_TEAM_NAME,BOWLING_TEAM_NAME,TOTAL_RUNS,TOTAL_BALLS,BYES,LEG_BYES,WICKETS,WIDES,NO_BALLS,PENALTY
7896,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,15/11/2025,20251115,TUKS 5 won by 8 Wickets,1,5429,5430,SINOVILLE 3,TUKS 5,64,111,4,2,10,7,0,0
7896,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,15/11/2025,20251115,TUKS 5 won by 8 Wickets,2,5430,5429,TUKS 5,SINOVILLE 3,67,44,0,1,2,5,0,0
7838,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,08/11/2025,20251108,Abandoned.,1,5425,5426,CBCOB 3,HARLEQUINS 3,0,0,0,0,0,0,0,0
7838,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,08/11/2025,20251108,Abandoned.,2,5426,5425,HARLEQUINS 3,CBCOB 3,0,0,0,0,0,0,0,0
7790,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,08/11/2025,20251108,PHSOB 3 won by 4 Wickets,1,5431,5428,TUT 3,PHSOB 3,205,240,10,9,10,11,3,0
7790,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,08/11/2025,20251108,PHSOB 3 won by 4 Wickets,2,5428,5431,PHSOB 3,TUT 3,206,190,0,6,6,15,1,0
7777,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,08/11/2025,20251108,TUKS 5 won by 4 Wickets,1,5427,5430,IRENE VILLAGERS 3,TUKS 5,143,224,0,2,10,10,0,0
7777,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,08/11/2025,20251108,TUKS 5 won by 4 Wickets,2,5430,5427,TUKS 5,IRENE VILLAGERS 3,144,187,1,2,6,10,0,0
7775,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,08/11/2025,20251108,SINOVILLE 3 won by 4 Runs,1,5429,5432,SINOVILLE 3,IRENE VILLAGERS 4,257,235,0,3,10,30,3,0
7775,949,2025/2026 TITANS SECOND LEAGUE,2025,32995,League,08/11/2025,20251108,SINOVILLE 3 won by 4 Runs,2,5432,5429,IRENE VILLAGERS 4,SINOVILLE 3,253,240,1,1,8,7,0,0
