SNO,PLAYER,TEAM_IMG,BLANK,TEAM,MAT,INS,NO,RUNS,BALLS,AVG,SR,HS,100s,75s,50s,25s,0s,6s,4s
,PHSOB 3,,,,,,,,,,,,,,,,,,
83,Clayton Brunsdon,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,9,7,2,43,80,8.60,53.75,13,0,0,0,0,0,0,5
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
84,Willem Jacobs,HARLEQUINS 3,,HARLEQUINS 3,9,7,0,42,61,6.00,68.85,14,0,0,0,0,1,0,6
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
85,Henry Van Der Merwe,TUKS 5,,TUKS 5,2,2,0,42,94,21.00,44.68,32,0,0,0,1,0,0,2
,TUKS 5,,,,,,,,,,,,,,,,,,
86,Marco Rudolph,SINOVILLE 3,,SINOVILLE 3,2,2,0,41,36,20.50,113.89,29,0,0,0,1,0,1,3
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
87,Iwann Els,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3,3,0,41,52,13.67,78.85,27,0,0,0,1,0,1,4
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
88,Jaden Beukes,CBCOB 3,,CBCOB 3,2,2,0,39,47,19.50,82.98,32,0,0,0,1,0,0,5
,CBCOB 3,,,,,,,,,,,,,,,,,,
89,Matthew Thurbon,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3,2,1,39,48,39.00,81.25,20,0,0,0,0,0,0,5
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
90,Zandre Jordaan,SINOVILLE 3,,SINOVILLE 3,2,2,0,37,37,18.50,100.00,26,0,0,0,1,0,0,6
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
91,Chris Klopper,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,4,4,0,37,43,9.25,86.05,20,0,0,0,0,0,1,5
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
92,Justin Van Bassen,CBCOB 3,,CBCOB 3,1,1,0,37,45,37.00,82.22,37,0,0,0,1,0,0,5
,CBCOB 3,,,,,,,,,,,,,,,,,,
93,Andre Klopper,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,2,2,1,36,24,36.00,150.00,23,0,0,0,0,0,2,4
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
94,Gerhard Batt,SINOVILLE 3,,SINOVILLE 3,3,3,0,36,38,12.00,94.74,32,0,0,0,1,1,2,4
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
95,André Duvenhage,PHSOB 3,,PHSOB 3,3,2,0,36,41,18.00,87.80,25,0,0,0,1,0,0,3
,PHSOB 3,,,,,,,,,,,,,,,,,,
96,Elgun Boecker,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3,2,1,35,30,35.00,116.67,32,0,0,0,1,0,3,2
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
97,Julian Otto,SINOVILLE 3,,SINOVILLE 3,4,4,1,34,38,11.33,89.47,28,0,0,0,1,2,0,4
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
98,Henk Fick,SINOVILLE 3,,SINOVILLE 3,3,2,0,33,30,16.50,110.00,23,0,0,0,0,0,0,4
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
99,Dimitri Saunders,HARLEQUINS 3,,HARLEQUINS 3,2,2,1,33,56,33.00,58.93,33,0,0,0,1,0,1,1
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
100,Mark Yafee,CBCOB 3,,CBCOB 3,4,4,0,33,62,8.25,53.23,15,0,0,0,0,0,0,3
,CBCOB 3,,,,,,,,,,,,,,,,,,
101,PJ McKechnie,PHSOB 3,,PHSOB 3,3,3,0,32,46,10.67,69.57,23,0,0,0,0,0,0,4
,PHSOB 3,,,,,,,,,,,,,,,,,,
102,Tshepo Molite,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4,4,0,32,46,8.00,69.57,26,0,0,0,1,1,1,4
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
103,Dylan Kotze,CBCOB 3,,CBCOB 3,2,2,1,32,68,32.00,47.06,23,0,0,0,0,0,0,1
,CBCOB 3,,,,,,,,,,,,,,,,,,
104,Andrè Smith,TUKS 5,,TUKS 5,3,3,1,31,47,15.50,65.96,20,0,0,0,0,0,0,4
,TUKS 5,,,,,,,,,,,,,,,,,,
105,Burgert Kloppers,PHSOB 3,,PHSOB 3,8,5,3,31,56,15.50,55.36,14,0,0,0,0,1,1,3
,PHSOB 3,,,,,,,,,,,,,,,,,,
106,Jacques Van Rooyen,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,8,2,1,28,23,28.00,121.74,19,0,0,0,0,0,1,0
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
107,Justin Pretorius,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,3,3,0,27,20,9.00,135.00,18,0,0,0,0,0,4,0
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
108,Gerno Erasmus,SINOVILLE 3,,SINOVILLE 3,1,1,0,27,23,27.00,117.39,27,0,0,0,1,0,0,6
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
109,Werner Swart,SINOVILLE 3,,SINOVILLE 3,1,1,0,27,33,27.00,81.82,27,0,0,0,1,0,1,2
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
110,Hein Swanepoel,HARLEQUINS 3,,HARLEQUINS 3,2,2,0,26,15,13.00,173.33,16,0,0,0,0,0,1,4
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
111,Jason Gillard,SINOVILLE 3,,SINOVILLE 3,1,1,1,26,22,--,118.18,26,0,0,0,1,0,3,0
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
112,Fredrik Strydom,PHSOB 3,,PHSOB 3,1,1,0,26,28,26.00,92.86,26,0,0,0,1,0,1,3
,PHSOB 3,,,,,,,,,,,,,,,,,,
113,Ettienne Tait,HARLEQUINS 3,,HARLEQUINS 3,2,2,0,26,29,13.00,89.66,21,0,0,0,0,0,1,3
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
114,Steven Meyburgh,PHSOB 3,,PHSOB 3,6,4,2,26,55,13.00,47.27,21,0,0,0,0,0,0,1
,PHSOB 3,,,,,,,,,,,,,,,,,,
115,Hendre Du toit,SINOVILLE 3,,SINOVILLE 3,5,5,0,26,56,5.20,46.43,13,0,0,0,0,0,0,3
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
116,Divan Potgieter,TUT 3,,TUT 3,7,4,1,25,25,8.33,100.00,13,0,0,0,0,1,1,2
,TUT 3,,,,,,,,,,,,,,,,,,
117,Paul Liddle,HARLEQUINS 3,,HARLEQUINS 3,1,1,0,24,17,24.00,141.18,24,0,0,0,0,0,1,3
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
118,Mbulelo Jimlongoe,PHSOB 3,,PHSOB 3,1,1,0,23,29,23.00,79.31,23,0,0,0,0,0,0,5
,PHSOB 3,,,,,,,,,,,,,,,,,,
119,Jerry Lesige,TUKS 5,,TUKS 5,3,3,0,23,42,7.67,54.76,14,0,0,0,0,0,0,2
,TUKS 5,,,,,,,,,,,,,,,,,,
120,Eugene Botha,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,7,4,0,23,50,5.75,46.00,13,0,0,0,0,1,0,1
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
121,Pieter Roos,HARLEQUINS 3,,HARLEQUINS 3,5,5,0,23,62,4.60,37.10,12,0,0,0,0,2,0,3
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
122,Luandre Nell,HARLEQUINS 3,,HARLEQUINS 3,5,4,0,23,72,5.75,31.94,17,0,0,0,0,2,0,3
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
123,Christopher Bouwer,PHSOB 3,,PHSOB 3,1,1,0,22,17,22.00,129.41,22,0,0,0,0,0,0,0
,PHSOB 3,,,,,,,,,,,,,,,,,,
124,Owen Louwies,CBCOB 3,,CBCOB 3,1,1,0,22,28,22.00,78.57,22,0,0,0,0,0,0,4
,CBCOB 3,,,,,,,,,,,,,,,,,,
125,Johannes Oosthuizen,SINOVILLE 3,,SINOVILLE 3,1,1,0,22,51,22.00,43.14,22,0,0,0,0,0,0,2
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
126,Louis Van Zyl,CBCOB 3,,CBCOB 3,1,1,0,22,61,22.00,36.07,22,0,0,0,0,0,0,3
,CBCOB 3,,,,,,,,,,,,,,,,,,
127,Stiaan Heymans,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,8,6,1,21,61,4.20,34.43,10,0,0,0,0,2,0,1
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
128,Tiaan Borman,SINOVILLE 3,,SINOVILLE 3,1,1,0,20,18,20.00,111.11,20,0,0,0,0,0,0,3
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
129,Mohapi Molete,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,6,6,2,20,40,5.00,50.00,9,0,0,0,0,1,0,0
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
130,Jean Botes,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,2,2,0,20,42,10.00,47.62,12,0,0,0,0,0,0,2
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
131,Heinrich Klue,CBCOB 3,,CBCOB 3,1,1,1,19,17,--,111.76,19,0,0,0,0,0,0,3
,CBCOB 3,,,,,,,,,,,,,,,,,,
132,Conrath Meiring,CBCOB 3,,CBCOB 3,1,1,0,19,27,19.00,70.37,19,0,0,0,0,0,0,3
,CBCOB 3,,,,,,,,,,,,,,,,,,
133,Werner Jordaan,SINOVILLE 3,,SINOVILLE 3,2,2,0,19,29,9.50,65.52,19,0,0,0,0,1,2,0
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
