SNO,PLAYER,TEAM_IMG,BLANK,TEAM,MAT,INS,NO,RUNS,BALLS,AVG,SR,HS,100s,75s,50s,25s,0s,6s,4s,League Name
73,Ruan Brenner,PHSOB 3,,PHSOB 3,1,1,1,38,30,--,126.67,38,0,0,0,1,0,2,2,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
74,Erik Van Deventer,TUT 3,,TUT 3,4,3,1,38,53,19.00,71.70,22,0,0,0,0,0,0,5,Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,Titans Second League
75,Stanley Fabri,SINOVILLE 4,,SINOVILLE 4,3,1,0,38,58,38.00,65.52,38,0,0,0,1,0,1,2,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
76,Matimu Mayayise,TUKS 5,,TUKS 5,4,2,1,37,35,37.00,105.71,21,0,0,0,0,0,3,2,Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,Titans Second League
77,Hein Smit,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5,4,1,37,46,12.33,80.43,19,0,0,0,0,0,3,3,Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,Titans Second League
78,Gerrie Viljoen,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,1,0,37,53,37.00,69.81,37,0,0,0,1,0,0,6,Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,Titans Second League
79,Michael Boltman,PHSOB 3,,PHSOB 3,4,3,0,36,21,12.00,171.43,26,0,0,0,1,0,3,2,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
80,Dean Dyer,PHSOB 3,,PHSOB 3,2,2,0,35,24,17.50,145.83,35,0,0,0,1,1,0,4,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
81,Latir Grey-Johnson,TUKS 6,,TUKS 6,3,3,1,35,64,17.50,54.69,14,0,0,0,0,0,2,3,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
