SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,MAT,TEAM,TEAM_ID,INS,OVERS,RUNS,WKTS,BBF,MDNS,DOTS,ECON,AVE,SR,HATTRICK,4W,5W,WIDES,NB,League Name
68,576,32995,Ruan Breytenbach,2936745,SINOVILLE 3,,SINOVILLE 3,1,,1,5.0,14,3,14/ 3,1,0,2.80,4.67,10.0,0,0,0,0,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
69,576,32995,Gerhard Scheepers,3927337,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,1,,1,3.0,9,3,9/ 3,0,12,3.00,3.00,6.0,0,0,0,1,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
70,576,32995,Richard Williams,3729932,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,,1,9.0,32,3,32/ 3,3,42,3.56,10.67,18.0,0,0,0,6,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
71,576,32995,Gunter Geyser,3771717,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,2,,2,9.2,34,3,7/ 2,2,39,3.64,11.33,18.7,0,0,0,1,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
72,576,32995,Etienne Tait,3745434,HARLEQUINS 3,,HARLEQUINS 3,1,,1,8.0,30,3,30/ 3,1,32,3.75,10.00,16.0,0,0,0,1,0,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
73,576,32995,Juan Van Der Westhuizen,3771719,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,,1,8.0,31,3,31/ 3,0,37,3.88,10.33,16.0,0,0,0,9,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
74,576,32995,Neyko Stiglingh,4116051,HARLEQUINS 3,,HARLEQUINS 3,1,,1,8.0,31,3,31/ 3,0,33,3.88,10.33,16.0,0,0,0,5,0,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
75,576,32995,Oliver Beauclerk,2934812,HARLEQUINS 3,,HARLEQUINS 3,1,,1,7.0,28,3,28/ 3,0,32,4.00,9.33,14.0,0,0,0,5,0,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
76,576,32995,Paul Gouws,3056110,CBCOB 3,,CBCOB 3,3,,2,12.0,53,3,38/ 2,0,52,4.42,17.67,24.0,0,0,0,13,0,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
77,576,32995,Wessel Marais,3713343,TUT 3,,TUT 3,2,,2,9.0,40,3,30/ 2,2,44,4.44,13.33,18.0,0,0,0,7,0,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
78,576,32995,Seun Bornman,3759631,SINOVILLE 3,,SINOVILLE 3,1,,1,9.0,40,3,40/ 3,0,31,4.44,13.33,18.0,0,0,0,0,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
79,576,32995,James Twycross,2936917,PHSOB 3,,PHSOB 3,2,,2,12.0,56,3,47/ 2,0,37,4.67,18.67,24.0,0,0,0,0,0,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
80,576,32995,Dirkie Kruger,3713346,TUT 3,,TUT 3,2,,1,4.0,19,3,19/ 3,0,15,4.75,6.33,8.0,0,0,0,4,0,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
81,576,32995,Renier Bornman,3759634,SINOVILLE 3,,SINOVILLE 3,1,,1,9.0,43,3,43/ 3,0,31,4.78,14.33,18.0,0,0,0,3,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
82,576,32995,Johan Broekman,3069548,CBCOB 3,,CBCOB 3,3,,3,12.0,60,3,19/ 2,2,50,5.00,20.00,24.0,0,0,0,13,0,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
83,576,32995,Erik Van Deventer,3033825,TUT 3,,TUT 3,2,,2,14.1,71,3,36/ 3,0,39,5.01,23.67,28.3,0,0,0,1,0,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
84,576,32995,Tristan De Klerk,3912805,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5,,4,22.0,115,3,24/ 1,2,83,5.23,38.33,44.0,0,0,0,6,3,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
85,576,32995,Quintin Pretorius,3745417,SINOVILLE 3,,SINOVILLE 3,2,,2,16.0,85,3,31/ 2,0,55,5.31,28.33,32.0,0,0,0,0,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
86,576,32995,JP Roets,3195753,SINOVILLE 4,,SINOVILLE 4,4,,4,29.3,157,3,48/ 2,1,77,5.32,52.33,59.0,0,0,0,3,0,2023 Titans Second League
,576,32995,SINOVILLE 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
87,576,32995,Stanley Fabri,3056139,SINOVILLE 3,,SINOVILLE 3,1,,1,7.4,41,3,41/ 3,2,31,5.35,13.67,15.3,0,0,0,0,0,2023 Titans Second League
,576,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
88,576,32995,Cj Jordaan,4116167,PHSOB 3,,PHSOB 3,2,,2,6.0,35,3,21/ 3,0,25,5.83,11.67,12.0,0,0,0,3,0,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
89,576,32995,Martin Childs-Hurn,2936849,TUKS 5,,TUKS 5,6,,5,14.0,87,3,17/ 2,1,45,6.21,29.00,28.0,0,0,0,18,0,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
90,576,32995,Brad Goss,4081458,PHSOB 3,,PHSOB 3,5,,5,22.0,142,3,23/ 1,1,87,6.45,47.33,44.0,0,0,0,11,0,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
91,576,32995,Travis Joshua,3678955,HARLEQUINS 3,,HARLEQUINS 3,4,,4,9.2,61,3,7/ 2,0,32,6.54,20.33,18.7,0,0,0,7,0,2023 Titans Second League
,576,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
92,576,32995,Erick Knoesen,3912420,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,4,,4,17.0,124,3,38/ 2,0,49,7.29,41.33,34.0,0,0,0,11,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
93,576,32995,Charl Foxcroft,2097177,TUT 3,,TUT 3,6,,3,11.0,83,3,33/ 3,0,33,7.55,27.67,22.0,0,0,0,10,2,2023 Titans Second League
,576,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
